NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,tt,xh
5,0.505140512,0.412729371,0.354798053,0.333108901,0.317786663,23.18259918,17,5.257198017,31,14,14,63.62482285,26,9.20406798,78,52,78,49.40699613,41.6375,12.20692802,69.723,28.0855,28.0855,1593.995275,1465.09,163.7879043,1768,302.91,1687,10.33525598,7,2.34829776,14,7,14,3.713741289,1,0.408629323,4,3,3,124.6409138,28,8.421591564,139,111,111,1.797276643,0.36,0.140395875,1.91,1.55,1.9,2,0,0,2,2,2,0.619457759,2,0.826110047,2,0,2,4.85321111,10,2.778547918,10,0,0,0,0,0,0,0,0,7.472668869,9,2.256529899,13,4,4,0,0,0,0,0,0,1.379736527,5,1.84001926,5,0,4,2.284201775,5,1.683596998,5,0,0,0,0,0,0,0,0,3.663938302,3,1.076405217,5,2,4,13.65784532,10.195,4.371048797,20.44,10.245,20.44,0.221277984,0.773,0.315870467,0.773,0,0.773,0.322378888,1.5484712,0.39769316,1.5484712,0,0,212.6766861,163,17.65387911,227,64,227,0.267641994,0.082896455,0.64946155,0,0,0.031880743,0.012152233,409.432077,210
5,0.504733128,0.412238021,0.35430341,0.332636035,0.317334905,23.18587992,17,5.252508677,31,14,14,63.61211858,26,9.194690516,78,52,78,49.4154937,41.6375,12.19654274,69.723,28.0855,28.0855,1594.657676,1465.09,163.2386255,1768,302.91,1687,10.332102,7,2.345836368,14,7,14,3.714098773,1,0.408323431,4,3,3,124.6447069,28,8.413892111,139,111,111,1.797383027,0.36,0.140299743,1.91,1.55,1.9,2,0,4.44E-16,2,2,2,0.618379064,2,0.825563461,2,0,2,4.854710668,10,2.775935473,10,0,0,0,0,0,0,0,0,7.473089733,9,2.254227303,13,4,4,0,0,0,0,0,0,1.376487961,5,1.83767244,5,0,4,2.286277063,5,1.682549125,5,0,0,0,0,0,0,0,0,3.662765023,3,1.075793212,5,2,4,13.6509506,10.195,4.367001955,20.44,10.245,20.44,0.221001648,0.773,0.315634012,0.773,0,0.773,0.324504329,1.5484712,0.399643101,1.5484712,0,0,212.68802,163,17.60815161,227,64,227,0.267626922,0.082747443,0.649625636,0,0,0.031880743,0.012142753,410.056333,211
6,0.504440359,0.412101322,0.354234093,0.332579667,0.317286678,23.18904582,18,5.260615384,32,14,14,63.64898481,27,9.216632785,79,52,78,49.4241494,44.5545,12.21611356,72.64,28.0855,28.0855,1594.078739,1465.09,163.7693669,1768,302.91,1687,10.34143481,7,2.350885486,14,7,14,3.713756168,1,0.408616602,4,3,3,124.6227649,28,8.407425141,139,111,111,1.797777553,0.46,0.140170976,2.01,1.55,1.9,2,0,4.44E-16,2,2,2,0.621431967,2,0.827709912,2,0,2,4.857564515,10,2.780895765,10,0,0,0,0,0,0,0,0,7.478996482,10,2.262657094,14,4,4,0,0,0,0,0,0,1.382748915,5,1.841738183,5,0,4,2.279997162,5,1.68200417,5,0,0,0,0,0,0,0,0,3.662746077,3,1.075064498,5,2,4,13.66950724,12.76,4.381459203,23.005,10.245,20.44,0.221709992,0.773,0.315980273,0.773,0,0.773,0.323011063,1.5484712,0.398346975,1.5484712,0,0,212.7183471,163,17.59347727,227,64,227,0.267415556,0.083090287,0.649494157,0,0,0.051525145,0.012146217,409.971002,212
6,0.503783514,0.411405839,0.353572959,0.331956596,0.316699701,23.17988061,17,5.257057982,31,14,14,63.61964105,26,9.201551144,78,52,78,49.40204477,41.6375,12.20738227,69.723,28.0855,28.0855,1595.068895,1508.09,163.2514378,1811,302.91,1687,10.33392605,7,2.347646483,14,7,14,3.713664142,1,0.408695269,4,3,3,124.6342103,28,8.41129548,139,111,111,1.797675081,0.36,0.139881441,1.91,1.55,1.9,2,0,4.44E-16,2,2,2,0.619217616,2,0.826182735,2,0,2,4.851349856,10,2.778230848,10,0,0,0,0,0,0,0,0,7.470567472,9,2.253261995,13,4,4,0,0,0,0,0,0,1.378072934,5,1.838675185,5,0,4,2.285291563,5,1.682570998,5,0,0,0,0,0,0,0,0,3.663364497,3,1.073133294,5,2,4,13.65548539,10.195,4.36956453,20.44,10.245,20.44,0.221337618,0.773,0.315921443,0.773,0,0.773,0.327574682,2.1106628,0.402919102,2.1106628,0,0,212.6990812,165,17.61462639,229,64,227,0.26771728,0.082887628,0.649395093,0,0,0.031880743,0.012104806,409.693154,213
7,0.504221551,0.411896521,0.354054385,0.332411486,0.317127121,23.18596648,18,5.257985793,32,14,14,63.63359321,27,9.208399293,79,52,78,49.41603166,44.5545,12.2094537,72.64,28.0855,28.0855,1594.002917,1508.09,164.1486218,1811,302.91,1687,10.3375063,7,2.349234637,14,7,14,3.713803343,1,0.408576261,4,3,3,124.6324108,28,8.412039043,139,111,111,1.797597871,0.46,0.140045349,2.01,1.55,1.9,2,0,0,2,2,2,0.620074822,2,0.826484508,2,0,2,4.85546491,10,2.77923565,10,0,0,0,0,0,0,0,0,7.475539731,10,2.258348646,14,4,4,0,0,0,0,0,0,1.381289144,5,1.841090849,5,0,4,2.282568521,5,1.682845062,5,0,0,0,0,0,0,0,0,3.663857665,3,1.074702559,5,2,4,13.66231194,12.76,4.374266837,23.005,10.245,20.44,0.22135162,0.773,0.315862492,0.773,0,0.773,0.324654214,2.1106628,0.400037999,2.1106628,0,0,212.6568959,165,17.69755669,229,64,227,0.267539211,0.082947164,0.649513625,0,0,0.051525145,0.012124384,410.53382,214
5,0.505369284,0.412961394,0.355012049,0.333313558,0.317986079,23.17343518,17,5.262136259,31,14,14,63.62847411,26,9.209246505,78,52,78,49.38518502,41.6375,12.21808872,69.723,28.0855,28.0855,1594.521765,1465.09,163.1115416,1768,302.91,1687,10.33608422,7,2.349670471,14,7,14,3.713186164,1,0.409103319,4,3,3,124.6357326,28,8.428027515,139,111,111,1.797279957,0.36,0.14044501,1.91,1.55,1.9,2,0,0,2,2,2,0.62016574,2,0.826864619,2,0,2,4.847780121,10,2.780820822,10,0,0,0,0,0,0,0,0,7.467945861,9,2.255084024,13,4,4,0,0,0,0,0,0,1.379945687,5,1.839876328,5,0,4,2.284081522,5,1.684063195,5,0,0,0,0,0,0,0,0,3.66402721,3,1.075848967,5,2,4,13.66005242,10.195,4.372923889,20.44,10.245,20.44,0.221707095,0.773,0.316236865,0.773,0,0.773,0.322134583,1.5484712,0.397551626,1.5484712,0,0,212.7449337,163,17.55032824,227,64,227,0.267811261,0.083043685,0.649145054,0,0,0.031880743,0.012156659,410.436899,215
6,0.504369417,0.411938739,0.354047508,0.332401201,0.317119703,23.18037196,17,5.257997212,31,14,14,63.6224985,26,9.196888574,78,52,78,49.40075133,41.6375,12.20816897,69.723,28.0855,28.0855,1595.244464,1508.09,162.9038893,1811,302.91,1687,10.33506233,7,2.346179231,14,7,14,3.713628313,1,0.408725888,4,3,3,124.6286128,28,8.405768484,139,111,111,1.797738033,0.36,0.139946183,1.91,1.55,1.9,2,0,0,2,2,2,0.619106646,2,0.826216443,2,0,2,4.852238809,10,2.779087628,10,0,0,0,0,0,0,0,0,7.471345456,9,2.254451193,13,4,4,0,0,0,0,0,0,1.37730311,5,1.838052431,5,0,4,2.28404432,5,1.680973045,5,0,0,0,0,0,0,0,0,3.66134743,3,1.074815775,5,2,4,13.65401512,10.195,4.369129049,20.44,10.245,20.44,0.221365314,0.773,0.315945111,0.773,0,0.773,0.326277894,2.1106628,0.40126596,2.1106628,0,0,212.7327292,165,17.56104775,229,64,227,0.267689402,0.082864144,0.649446454,0,0,0.031880743,0.0121121,409.214436,216
7,0.504615737,0.412305093,0.354420344,0.332752987,0.317448733,23.17947425,18,5.253286589,32,14,14,63.60565401,27,9.19796812,79,52,78,49.39899058,44.5545,12.19741689,72.64,28.0855,28.0855,1595.61441,1508.09,162.1746104,1811,302.91,1687,10.3300502,7,2.346792187,14,7,14,3.713856892,1,0.40853046,4,3,3,124.6516045,28,8.427252231,139,111,111,1.797375092,0.46,0.140337221,2.01,1.55,1.9,2,0,2.22E-16,2,2,2,0.61860011,2,0.826173665,2,0,2,4.850019005,10,2.775599027,10,0,0,0,0,0,0,0,0,7.468619114,10,2.250893056,14,4,4,0,0,0,0,0,0,1.374738791,5,1.836037478,5,0,4,2.288549912,5,1.684164297,5,0,0,0,0,0,0,0,0,3.663288703,3,1.074622299,5,2,4,13.65076157,12.76,4.36718082,23.005,10.245,20.44,0.221278188,0.773,0.315818426,0.773,0,0.773,0.325532914,2.1106628,0.400799781,2.1106628,0,0,212.8448749,165,17.39524933,229,64,227,0.26778712,0.082826571,0.64938631,0,0,0.051525145,0.012148425,409.503017,217
6,0.505082176,0.412785173,0.354883645,0.333196725,0.31787696,23.17661589,18,5.264676914,32,14,14,63.64552679,27,9.22560657,79,52,78,49.39541498,44.5545,12.22561985,72.64,28.0855,28.0855,1594.263383,1465.09,163.1865227,1768,302.91,1687,10.33996726,7,2.353630894,14,7,14,3.713147146,1,0.409136588,4,3,3,124.6314673,28,8.431544991,139,111,111,1.797395486,0.46,0.140538032,2.01,1.55,1.9,2,0,0,2,2,2,0.622048658,2,0.828332098,2,0,2,4.849390066,10,2.782122759,10,0,0,0,0,0,0,0,0,7.471438724,10,2.259394555,14,4,4,0,0,0,0,0,0,1.383092961,5,1.841753503,5,0,4,2.282081396,5,1.685192748,5,0,0,0,0,0,0,0,0,3.665174358,3,1.074729532,5,2,4,13.67148816,12.76,4.38245958,23.005,10.245,20.44,0.222122376,0.773,0.316365173,0.773,0,0.773,0.321135873,1.5484712,0.396892555,1.5484712,0,0,212.7929412,163,17.48452827,227,64,227,0.267686061,0.083256877,0.649057062,0,0,0.051525145,0.012176439,409.291322,218
6,0.503858482,0.411598176,0.353793022,0.332171452,0.316908759,23.17332245,17,5.260232109,31,14,14,63.62120626,26,9.20594577,78,52,78,49.38517705,41.6375,12.21381301,69.723,28.0855,28.0855,1595.448246,1508.09,162.8250441,1811,302.91,1687,10.33416676,7,2.348861951,14,7,14,3.713286427,1,0.4090178,4,3,3,124.6338414,28,8.419966551,139,111,111,1.797668051,0.36,0.13987654,1.91,1.55,1.9,2,0,2.22E-16,2,2,2,0.619711672,2,0.826697726,2,0,2,4.847319361,10,2.779584505,10,0,0,0,0,0,0,0,0,7.467031034,9,2.251856815,13,4,4,0,0,0,0,0,0,1.378276926,5,1.838626657,5,0,4,2.285544911,5,1.683505763,5,0,0,0,0,0,0,0,0,3.663821837,3,1.072634519,5,2,4,13.65746808,10.195,4.370649952,20.44,10.245,20.44,0.221629592,0.773,0.316170759,0.773,0,0.773,0.327675765,2.1106628,0.403118503,2.1106628,0,0,212.7772379,165,17.52083636,229,64,227,0.267844072,0.082993049,0.649162879,0,0,0.031880743,0.012104599,409.477217,219
