NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,ds,xh
6,0.488806109,0.401309307,0.354763156,0.342159304,0.336217523,23.468718,19,5.288810508,32,13,28,64.08264367,27,9.224973556,79,52,61,49.84056868,45.6584614,12.11207207,72.64,26.9815386,58.6934,1648.788095,877.53,120.6227729,1811,933.47,1728,10.464384,7,2.324106,14,7,10,3.722463,1,0.401020427,4,3,4,124.300936,28,7.733867333,139,111,124,1.829333593,0.46,0.111030408,2.01,1.55,1.91,2,0,0,2,2,2,0.650181,2,0.866908,2,0,0,5.038833,10,2.811355298,10,0,8,0,0,0,0,0,0,7.689014,11,2.336680559,14,3,10,0,0,0,0,0,0,1.349819,5,1.799758667,5,0,0,2.185797,5,1.581062667,5,0,2,0,0,0,0,0,0,3.535616,3,1.023744,5,2,2,13.8627946,12.685,4.54047231,23.005,10.32,10.32,0.223162676,0.773,0.304908206,0.773,0,0,0.50992197,2.1106628,0.529316685,2.1106628,0,0.5953947,224.625872,12,2.83372828,229,217,225,0.260111374,0.084559737,0.655328889,0,0,0.051525145,0.010136371,43.845815,190
7,0.537609522,0.44642629,0.386763701,0.364490526,0.349545354,28.3256116,18,2.449340599,32,14,32,63.99899453,27,10.00963979,79,52,79,62.12111927,44.5545,7.011741252,72.64,28.0855,72.64,1498.108106,599.6,191.1408567,1811,1211.4,1211.4,10.33247655,7,2.447560532,14,7,14,3.999618614,1,7.62E-04,4,3,4,127.4870619,28,7.171746597,139,111,120,1.832232261,0.46,0.168053717,2.01,1.55,2.01,1.999875983,1,2.48E-04,2,1,2,0.667315423,2,0.889320972,2,0,2,7.661471283,10,1.758708342,10,0,10,0,0,0,0,0,0,10.32866269,10,2.447306132,14,4,14,1.24E-04,1,2.48E-04,1,0,0,1.334630846,4,1.778641944,4,0,4,2.334714857,5,1.755699948,5,0,0,0,0,0,0,0,0,3.66946972,4,1.035643778,5,1,4,14.61312877,12.76,5.598068591,23.005,10.245,23.005,0.127939644,0.773,0.17050319,0.773,0,0.383,0.310521925,2.1106628,0.391832123,2.1106628,0,0,221.5656821,35,4.84690042,229,194,225,0.193623903,0.064608115,0.741767982,0,0,0.051525145,0.017670295,56.266758,191
5,0.515884912,0.426374907,0.375509498,0.359170037,0.348650482,22.481514,15,5.691314667,28,13,28,64.07423667,26,9.098982222,78,52,61,47.369733,31.7118614,12.896971,58.6934,26.9815386,58.6934,1679.403578,877.53,81.04651549,1811,933.47,1728,10.481514,7,2.308685333,14,7,10,3.666666667,1,0.444444444,4,3,4,123.68486,28,8.086853333,139,111,124,1.827972393,0.36,0.10071634,1.91,1.55,1.91,2,0,0,2,2,2,0.648180667,2,0.864240889,2,0,0,4.5,8,3,8,0,8,0,0,0,0,0,0,7.148180667,7,2.185152667,10,3,10,0,0,0,0,0,0,1.351819333,5,1.802425778,5,0,0,2.166666667,5,1.555555556,5,0,2,0,0,0,0,0,0,3.518486,3,1.012324,5,2,2,13.71639314,10.12,4.335995453,20.44,10.32,10.32,0.243376989,0.773,0.333500786,0.773,0,0,0.55029372,2.1106628,0.550190347,2.1106628,0,0.5953947,224.963028,12,2.654342667,229,217,225,0.279791473,0.090677712,0.629530815,0,0,0.031880743,0.008693344,50.143968,192
8,0.557030329,0.463626466,0.401578303,0.378176975,0.362111993,28.13087638,19,2.627292473,32,13,27,63.41588332,27,10.38453578,79,52,58,62.44249192,45.6584614,6.83747847,72.64,26.9815386,58.933195,1494.91167,1508.09,198.4139087,1811,302.91,1768,10.14181847,7,2.623630932,14,7,9,3.999392106,1,0.001215049,4,3,4,128.0641043,28,6.745144425,139,111,126,1.826417503,0.46,0.162990064,2.01,1.55,1.88,1.963381475,1,0.070555217,2,1,2,0.663569239,2,0.886596629,2,0,0,7.508788812,10,1.833328643,10,0,7,0,0,0,0,0,0,10.13573953,11,2.62371359,14,3,9,0.036618525,1,0.070555217,1,0,0,1.328122767,5,1.774508368,5,0,0,2.485132249,5,1.831876433,5,0,3,0,0,0,0,0,0,3.849873541,4,0.778636281,5,1,3,14.58017043,12.76,5.587438063,23.005,10.245,10.245,0.1271893,0.773,0.170021423,0.773,0,0,0.522324056,2.1106628,0.692695877,2.1106628,0,1.5484712,212.2261891,165,12.27519907,229,64,194,0.193708754,0.065468261,0.740822985,0,0,0.051525145,0.017070719,47.201216,193
5,0.477443078,0.388020632,0.345244718,0.336545778,0.333877897,25.18706467,18,4.283717579,32,14,28,64.51722633,27,9.279483111,79,52,61,54.19041442,44.5545,9.807598946,72.64,28.0855,58.6934,1604.735289,556.6,151.4546145,1768,1211.4,1728,10.56835867,7,2.287760889,14,7,10,3.812150333,1,0.305124339,4,3,4,124.448355,28,6.645767333,139,111,124,1.84144905,0.46,0.125801457,2.01,1.55,1.91,2,0,2.22E-16,2,2,2,0.666666667,2,0.888888889,2,0,0,6.023195333,10,2.704563869,10,0,8,0,0,0,0,0,0,8.689862,10,2.491392314,14,4,10,0,0,0,0,0,0,1.333333333,4,1.777777778,4,0,0,2.098308,5,1.464410667,5,0,2,0,0,0,0,0,0,3.431641333,3,1.055874204,5,2,2,14.09385406,12.76,4.977095173,23.005,10.245,10.32,0.200928037,0.773,0.267904049,0.773,0,0,0.38049681,1.5484712,0.41776883,1.5484712,0,0.5953947,220.0062413,33,7.409743556,227,194,225,0.230153252,0.076717751,0.693128997,0,0,0.051525145,0.01220708,40.880196,194
8,0.515042006,0.425399632,0.374541025,0.358358173,0.348120127,22.53486531,18,5.654967841,31,13,28,63.98662097,26,9.042135575,78,52,61,47.49350579,42.7414614,12.81608034,69.723,26.9815386,58.6934,1679.008836,1508.09,81.88496362,1811,302.91,1728,10.45914447,7,2.294781472,14,7,10,3.67087338,1,0.441604576,4,3,4,123.7712921,28,8.038464954,139,111,124,1.827335998,0.36,0.101461709,1.91,1.55,1.91,1.999691315,1,6.17E-04,2,1,2,0.639925582,2,0.858483829,2,0,0,4.528261368,10,2.980742717,10,0,8,0,0,0,0,0,0,7.167878265,10,2.178696358,13,3,10,3.09E-04,1,6.17E-04,1,0,0,1.335463496,5,1.791573657,5,0,0,2.180472432,5,1.557969428,5,0,2,0,0,0,0,0,0,3.516244613,4,1.017125458,5,1,2,13.67558991,10.195,4.307796151,20.44,10.245,10.32,0.240166516,0.773,0.331096407,0.773,0,0,0.552116823,2.1106628,0.549815856,2.1106628,0,0.5953947,224.9205553,165,2.710881942,229,64,225,0.278979531,0.089276849,0.631743621,0,0,0.031880743,0.00875596,50.607754,195
5,0.493873578,0.40493877,0.356209645,0.342298798,0.335830597,26.62,18,3.430666667,32,14,28,64.16,27,9.693333333,79,52,61,57.71363443,44.5545,7.618814309,72.64,28.0855,58.6934,1559,599.6,181.9466667,1811,1211.4,1728,10.42,7,2.386666667,14,7,10,3.9,1,0.18,4,3,4,126.16,28,7.346666667,139,111,124,1.8366,0.46,0.142533333,2.01,1.55,1.91,2,0,2.22E-16,2,2,2,0.666666667,2,0.888888889,2,0,0,6.753333333,10,2.346222222,10,0,8,0,0,0,0,0,0,9.42,10,2.524,14,4,10,0,0,0,0,0,0,1.333333333,4,1.777777778,4,0,0,2.246666667,5,1.662222222,5,0,2,0,0,0,0,0,0,3.58,3,1.053333333,5,2,2,14.3687046,12.685,5.244530268,23.005,10.32,10.32,0.166666667,0.773,0.222222222,0.773,0,0,0.381465506,2.1106628,0.442346994,2.1106628,0,0.5953947,223.5733333,12,3.242844444,229,217,225,0.212314225,0.070771408,0.716914367,0,0,0.051525145,0.014462401,37,1
5,0.496565985,0.407631262,0.358621979,0.344306794,0.337100524,27.25333333,18,3.029333333,32,14,28,64.29333333,27,9.671111111,79,52,61,59.22901627,44.5545,7.152524658,72.64,28.0855,58.6934,1552.88,599.6,196.5781333,1811,1211.4,1728,10.45333333,7,2.364444444,14,7,10,3.933333333,1,0.124444444,4,3,4,126.2266667,28,6.835555556,139,111,124,1.8496,0.46,0.132533333,2.01,1.55,1.91,2,0,0,2,2,2,0.666666667,2,0.888888889,2,0,0,7.12,10,2.122666667,10,0,8,0,0,0,0,0,0,9.786666667,10,2.389333333,14,4,10,0,0,0,0,0,0,1.333333333,4,1.777777778,4,0,0,2.213333333,5,1.617777778,5,0,2,0,0,0,0,0,0,3.546666667,3,1.031111111,5,2,2,14.46228506,12.685,5.353143295,23.005,10.32,10.32,0.153666667,0.773,0.204888889,0.773,0,0,0.451810595,2.1106628,0.493847266,2.1106628,0,0.5953947,223.9066667,12,2.946844444,229,217,225,0.204359673,0.068119891,0.727520436,0,0,0.051525145,0.013464409,28,2
5,0.485249077,0.396167093,0.350417988,0.339090016,0.33463744,26.65333333,18,3.392888889,32,14,28,64.26,27,9.626666667,79,52,61,57.74386627,44.5545,7.584551564,72.64,28.0855,58.6934,1568.733333,599.6,187.9751111,1811,1211.4,1728,10.45333333,7,2.364444444,14,7,10,3.9,1,0.18,4,3,4,125.9266667,28,7.035555556,139,111,124,1.845933333,0.46,0.130088889,2.01,1.55,1.91,2,0,2.22E-16,2,2,2,0.666666667,2,0.888888889,2,0,0,6.786666667,10,2.308444444,10,0,8,0,0,0,0,0,0,9.453333333,10,2.486222222,14,4,10,0,0,0,0,0,0,1.333333333,4,1.777777778,4,0,0,2.213333333,5,1.617777778,5,0,2,0,0,0,0,0,0,3.546666667,3,1.031111111,5,2,2,14.37678506,12.685,5.239143295,23.005,10.32,10.32,0.166666667,0.773,0.222222222,0.773,0,0,0.451810595,2.1106628,0.493847266,2.1106628,0,0.5953947,223.9733333,12,2.975288889,229,217,225,0.211565585,0.070521862,0.717912553,0,0,0.051525145,0.013084446,34,3
5,0.47833043,0.388957206,0.345794256,0.336767991,0.333919252,26.05333333,18,3.676444444,32,14,28,64.22666667,27,9.582222222,79,52,61,56.25871627,44.5545,8.175635982,72.64,28.0855,58.6934,1584.586667,599.6,177.2583111,1811,1211.4,1728,10.45333333,7,2.364444444,14,7,10,3.866666667,1,0.231111111,4,3,4,125.6266667,28,7.235555556,139,111,124,1.842266667,0.46,0.127644444,2.01,1.55,1.91,2,0,0,2,2,2,0.666666667,2,0.888888889,2,0,0,6.453333333,10,2.449777778,10,0,8,0,0,0,0,0,0,9.12,10,2.538666667,14,4,10,0,0,0,0,0,0,1.333333333,4,1.777777778,4,0,0,2.213333333,5,1.617777778,5,0,2,0,0,0,0,0,0,3.546666667,3,1.031111111,5,2,2,14.29128506,12.685,5.125143295,23.005,10.32,10.32,0.179666667,0.773,0.239555556,0.773,0,0,0.451810595,2.1106628,0.493847266,2.1106628,0,0.5953947,224.04,12,3.003733333,229,217,225,0.219298246,0.073099415,0.707602339,0,0,0.051525145,0.012691059,30,4
